number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_offset,params_subsample,params_threshold,params_use_dynamic_threshold,state
10,0.0,2025-11-29 23:20:21.614974,2025-11-29 23:20:54.833048,0 days 00:00:33.218074,12.0,1073.0,1.566420651837719e-06,0.011726057636232884,44.0,0.0007013181548421663,0.9575267408219471,0.16055474271305342,True,COMPLETE
6,0.0,2025-11-29 23:17:21.622380,2025-11-29 23:17:23.799693,0 days 00:00:02.177313,9.0,991.0,2.3088452899495815,0.004200936966215038,38.0,0.000488556737291083,0.9029400516882413,0.2769594177563366,False,COMPLETE
5,0.0,2025-11-29 23:17:19.419260,2025-11-29 23:17:21.591166,0 days 00:00:02.171906,11.0,593.0,0.651040927655056,0.0012054026794333338,21.0,-1.1573713459146328e-05,0.9608941128857549,0.10702495885479828,False,COMPLETE
1,0.0,2025-11-29 23:17:10.027338,2025-11-29 23:17:12.475443,0 days 00:00:02.448105,6.0,1073.0,6.6911850551063485e-06,0.001127333536448184,63.0,2.9482636944549567e-05,0.894168793216092,0.194435198901011,True,COMPLETE
2,0.0,2025-11-29 23:17:12.499036,2025-11-29 23:17:14.980643,0 days 00:00:02.481607,10.0,604.0,7.027723682255511e-06,0.031274966751896456,20.0,-0.0017536376960515243,0.6245802795011643,0.21275710812326426,False,COMPLETE
3,0.0,2025-11-29 23:17:15.009209,2025-11-29 23:17:17.262786,0 days 00:00:02.253577,12.0,1442.0,0.005749471926533373,0.009552505253700312,99.0,0.001427002337624769,0.7281903915240776,0.08719452906092123,False,COMPLETE
4,0.0,2025-11-29 23:17:17.283717,2025-11-29 23:17:19.389596,0 days 00:00:02.105879,10.0,1025.0,0.012254314938129321,0.037713304052298,85.0,-0.0015596756434788019,0.765538116965357,0.12091309643917666,True,COMPLETE
121,0.0,2025-11-30 01:43:02.913942,2025-11-30 01:43:16.760168,0 days 00:00:13.846226,8.0,1247.0,0.00018488614297086187,0.17274298301979107,51.0,0.0001398828119930865,0.5781697022854083,0.027414318520448615,False,COMPLETE
120,0.0,2025-11-30 01:41:53.949211,2025-11-30 01:42:54.662717,0 days 00:01:00.713506,8.0,1295.0,0.10084151391017764,0.08075606020214271,55.0,0.0016954189287686067,0.5219685967333803,0.0562963730470383,False,COMPLETE
118,0.0,2025-11-30 01:39:01.514501,2025-11-30 01:40:22.191910,0 days 00:01:20.677409,7.0,1173.0,0.20685240703376945,0.005034050594427334,53.0,-0.0009160491577176173,0.8029078355175344,0.010337267914671423,False,COMPLETE
117,0.0,2025-11-30 01:37:47.362679,2025-11-30 01:39:01.496034,0 days 00:01:14.133355,7.0,1209.0,0.9191085280737595,0.15808778625495473,47.0,-0.0005495092875811951,0.5998312731932706,0.04665728835325447,False,COMPLETE
141,0.0,2025-11-30 02:12:20.530838,2025-11-30 02:13:54.091657,0 days 00:01:33.560819,8.0,1266.0,1.1761093497588875,0.08862157400746601,27.0,0.0004949574217447128,0.5394831865392095,0.21079176260041316,False,COMPLETE
368,0.0,2025-11-30 09:33:46.633509,2025-11-30 09:34:04.007111,0 days 00:00:17.373602,10.0,732.0,0.25744136014959096,0.03714696847876101,37.0,0.0004971709129446195,0.7744345401054046,0.0024999263427251672,,COMPLETE
147,0.0,2025-11-30 02:21:16.862856,2025-11-30 02:22:49.894526,0 days 00:01:33.031670,8.0,1173.0,0.1731538006192151,0.12442203815550423,43.0,0.0005698634036820173,0.6761434203303124,0.11294806190455557,False,COMPLETE
158,0.0,2025-11-30 02:37:53.165822,2025-11-30 02:39:28.913118,0 days 00:01:35.747296,8.0,1266.0,0.4077740858748223,0.11613810288435097,51.0,0.0007422857162020116,0.5753296224695934,0.010261468946975983,False,COMPLETE
360,0.0,2025-11-30 09:29:30.159645,2025-11-30 09:29:47.529075,0 days 00:00:17.369430,10.0,999.0,0.5603237311436425,0.04550336898345216,44.0,0.0003829588611824401,0.7273543238098827,0.0024999552617961038,,COMPLETE
361,0.0,2025-11-30 09:30:05.390050,2025-11-30 09:31:22.705810,0 days 00:01:17.315760,10.0,986.0,0.19046634269728532,0.07657797102885491,49.0,0.0004970236838657923,0.7767262579139025,0.002499960743825986,,COMPLETE
362,0.0,2025-11-30 09:31:22.723950,2025-11-30 09:31:40.295868,0 days 00:00:17.571918,10.0,999.0,0.35593436889024704,0.047508210585178325,38.0,0.0004968167351532401,0.7881739852743944,0.002499805634873283,,COMPLETE
